stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3955,PRESB,PNR RESTON SOUTH BAY B,RESTON SOUTH PARK & RIDE & RESTON PW,38.925938,-77.372256,,,,
3956,PRESC,PNR RESTON SOUTH BAY C,RESTON SOUTH PARK & RIDE & RESTON PW,38.926092,-77.372137,,,,
3957,RHBE93,RICHMOND HY @ BELFORD,RICHMOND HY & BELFORD DR,38.744494,-77.08423,,,,
3958,SOST91,SOAPSTONE @ UNDEROAK,SOAPSTONE DR & UNDEROAK CT,38.930555,-77.346291,,,,
3959,SOST92,SOAPSTONE @ HEARTHSTONE,SOAPSTONE DR & HEARTHSTONE CT,38.928373,-77.344328,,,,
3960,SOWO3,SOAPSTONE @ WOODHOLLOW,SOAPSTONE DR & WOODHOLLOW CT,38.92716,-77.3442,,,,
3961,SPMALL9,SPRINGFIELD MALL @ JCPENNEY ENTRANCE,SPRINGFIELD MALL & JC PENNEY ENTRANCE,38.77184,-77.17519,,,,
3962,SSGL3,SOAPSTONE @ GLENCOURSE,SOAPSTONE DR & GLENCOURSE LA,38.936701,-77.345512,,,,
3963,SSRH3,SOAPSTONE @ RIDGE HEIGHTS,SOAPSTONE DR & RIDGE HEIGHTS RD,38.93824,-77.345205,,,,
3964,STME1,STRINGFELLOW @ MELVILLE,STRINGFELLOW RD & MELVILLE LA,38.864384,-77.406415,,,,
3965,SVCV2,SUNRISE VALLEY @ CENTREVILLE RD,SUNRISE VALLEY DR & CENTREVILLE RD,38.95297,-77.41,,,,
3966,SVDT91,SUNRISE VALLEY @ DULLES TECHNOLOGY,SUNRISE VALLEY DR & DULLES TECHNOLOGY DR,38.95808,-77.41197,,,,
3967,SVET3,SUNRISE VALLEY @ ELM TREE,SUNRISE VALLEY DR & ELM TREE DR,38.95143,-77.401593,,,,
3968,TERX1,TELEGRAPH @ ROXANN,TELEGRAPH RD & ROXANN RD,38.762579,-77.130569,,,,
3970,TOSO39,TOWER @ SOUTHGATE,6615 TOWER DR,38.773666,-77.086016,,,,
3971,TOSO392,TOWER @ SOUTHGATE,TOWER DR & SOUTHGATE DR,38.77341,-77.08626,,,,
3975,HALS2,HARROVER @ LORTON STATION BV,HARROVER PL & LORTON STATION BLVD,38.714529,-77.212979,,,,
3986,EA123,EADS @ 12TH,S EADS ST & 12TH ST S,38.862856,-77.054323,,,,
3989,CR181,CRYSTAL DR @ 18TH,CRYSTAL DR & S EADS ST,38.857814,-77.04913,,,,
3991,TRTCA,RESTON TOWN CTR TRANSIT STA BAY A,BLUEMONT WY & EXPLORER ST,38.957059,-77.359955,,,,
3992,TRTCB,RESTON TOWN CTR TRANSIT STA BAY B,BLUEMONT WY & EXPLORER ST,38.957059,-77.35999,,,,
3993,TRTCC,RESTON TOWN CTR TRANSIT STA BAY C,BLUEMONT WY & EXPLORER ST,38.957059,-77.359967,,,,
3994,TRTCD,RESTON TOWN CTR TRANSIT STA BAY D,BLUEMONT WY & EXPLORER ST,38.957059,-77.359944,,,,
3995,TRTCF,RESTON TOWN CTR TRANSIT STA BAY F,BLUEMONT WY & EXPLORER ST,38.957059,-77.360002,,,,
4000,ELAL39,ELDEN @ ALABAMA,ELDEN ST & ALABAMA DR,38.964685,-77.397859,,,,
4001,ELAL49,ELDEN @ ALABAMA,ELDEN ST & ALABAMA DR,38.964605,-77.397649,,,,
4014,TRTCTS1,RESTON TOWN CTR TRANSIT STATION,BLUEMONT WAY & EXPLORER ST,38.957086,-77.359361,,,,
