stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3101,3101,Legion Rd at Britthaven Shelter,,35.93962,-79.0167,cht,
3102,3102,Banks Dr at Food Lion,,35.962,-79.05525,cht,
3103,3103,Legion Rd at Wooded Area (#1719),,35.9404,-79.01572,cht,
3104,3104,Legion Rd at Forsyth Dr,,35.941526,-79.013592,cht,
3105,3105,Raleigh Rd at Greenwood Rd,,35.909558,-79.031648,cht,
3106,3106,Raleigh Rd at Greenwood Rd,,35.90994,-79.03245,cht,
3107,3107,Hillsborough St at North St,,35.917742,-79.050501,cht,
3108,3108,Hillsborough St at E Rosemary St,,35.916919,-79.049862,cht,
3109,3109,US 15-501 Service Rd at Europa Dr,,35.94125,-79.018577,cht,
3110,3110,Europa Dr at Hotel,,35.941009,-79.01804,cht,
3111,3111,Erwin Rd at Weaver Dairy Rd,,35.94882,-79.0198,cht,
3112,3112,Old Oxford Rd E at Kirkwood Dr,,35.946595,-79.020588,cht,
3113,3113,Dobbins Dr at Cosgrove Hills,,35.94433,-79.01412,cht,
3114,3114,Raleigh Rd at UNC Administration,,35.90929,-79.02911,cht,
3115,3115,Summerfield Crossing at Grist Mill,,35.943787,-79.025472,cht,
3116,3116,Summerfield Crossing at Berry Patch,,35.94364,-79.022148,cht,
3117,3117,Summerfield Crossing at Beaver Dam,,35.94162,-79.02122,cht,
3118,3118,Dobbins Dr at Summerfield Crossing,,35.94153,-79.02083,cht,
3119,3119,Martin Luther King Jr Blvd at Riggsbee Mobile Home Park,,35.95874,-79.05752,cht,
3120,3120,Dobbins Dr at Foxcroft Dr,,35.94081,-79.02202,cht,
3121,3121,Dobbins Dr at Franklin Square,,35.93868,-79.02456,cht,
3122,3122,US 15-501 Service Rd at Hampton Inn,,35.939759,-79.02095,cht,
3123,3123,Legion Rd at Scarlet Dr,,35.942677,-79.011674,cht,
3124,3124,Standish Dr at Sir Richards Ln,,35.941875,-79.007466,cht,
3125,3125,Legion Rd at Cemetery,,35.94172,-79.01353,cht,
3126,3126,Sage Rd at Lowes-Borders,,35.94571,-79.01328,cht,
3127,3127,Raleigh St at Davis Library,,35.91076,-79.04681,cht,
3128,3128,Europa Dr at Duck Pond,,35.94016,-79.01799,cht,
3129,3129,NC 54 West at Berkshire Manor,,35.91558,-79.09281,cht,
3130,3130,NC 54 East at Berkshire Manor West,,35.915003,-79.092978,cht,
3131,3131,NC 54 East at Carrboro Plaza (ABC Store),,35.916584,-79.093605,cht,
