stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3992,3992,MEADOWBROOK LA & EAST WEST HWY,,38.99307,-77.060354,,,,
3994,3994,MEDICAL CENTER DR & BROSCHART DR,,39.098717,-77.203034,,,,
3996,3996,MEDICAL CENTER DR & #9603 (JHU MED,,39.103575,-77.196597,,,,
3998,3998,MEDICAL CENTER DR & #9701,,39.101457,-77.1956,,,,
4000,4000,MEDICAL CENTER DR & #9711,,39.099122,-77.195367,,,,
4002,4002,MEDICAL CENTER DR & BROSCHART DR,,39.098908,-77.202753,,,,
4006,4006,MEDICAL CENTER STATION & BAY C,,38.999459,-77.09852,,,,
4010,4010,MEDICAL CENTER STATION & BAY E,,38.99928,-77.098121,,,,
4014,4014,MEDICAL CENTER WAY & SHADY GROVE RD,,39.097201,-77.195643,,,,
4016,4016,MEDICAL CENTER WAY & SHADY GROVE RD,,39.097367,-77.19526,,,,
4018,4018,MEDICAL CENTER WAY & BROSCHART RD,,39.098179,-77.199576,,,,
4020,4020,MERRIMAC DR & UNIVERSITY BLVD,,38.992502,-76.991727,,,,
4022,4022,MERRIMAC DR & LOCKNEY AVE,,38.992454,-76.992139,,,,
4026,4026,METROPOLITAN AVE & ST PAUL ST,,39.027848,-77.072437,,,,
4028,4028,METROPOLITAN AVE & FERNDALE ST,,39.026412,-77.07022,,,,
4030,4030,METROPOLITAN AVE & EDGEWOOD RD,,39.024593,-77.068543,,,,
4032,4032,METROPOLITAN AVE & EDGEWOOD RD,,39.024503,-77.068354,,,,
4034,4034,METROPOLITAN AVE & FERNDALE ST,,39.025776,-77.069513,,,,
4036,4036,METROPOLITAN AVE & ST PAUL ST,,39.027483,-77.071719,,,,
4038,4038,METROPOLITAN AVE & PLYERS MILL RD,,39.02925,-77.074036,,,,
4040,4040,METROPOLITAN CT & GROVE RD,,39.149599,-77.227112,,,,
4042,4042,METROPOLITAN GROVE RD & CLOPPER RD,,39.146276,-77.227833,,,,
4050,4050,LYTTONSVILLE RD & LYTTONSVILLE PL,,38.999871,-77.050463,,,,
4052,4052,MICHIGAN AVE & MAINE AVE,,39.001041,-77.049434,,,,
4054,4054,MICHIGAN AVE & PENNSYLVANIA AVE,,39.002185,-77.04813,,,,
4056,4056,MICHIGAN AVE & PENNSYLVANIA AVE,,39.002243,-77.048182,,,,
4058,4058,MICHIGAN AVE & MAINE AVE,,39.001141,-77.049453,,,,
4060,4060,LYTTONSVILLE RD & LYTTONSVILLE PL,,38.999997,-77.050526,,,,
4062,4062,MIDCOUNTY HWY & PIERPOINT PL,,39.159194,-77.198632,,,,
4064,4064,MIDCOUNTY HWY & SAYBROOK OAKS BLVD,,39.15037,-77.174097,,,,
4066,4066,MIDCOUNTY HWY & WASHINGTON GROVE LA,,39.146971,-77.168704,,,,
4068,4068,MIDCOUNTY HWY & TAUNTON DR,,39.144368,-77.163512,,,,
4070,4070,MIDCOUNTY HWY & MILLER FALL RD,,39.143119,-77.159371,,,,
4072,4072,MIDCOUNTY HWY & MILL RUN DR,,39.14182,-77.154865,,,,
4074,4074,MIDCOUNTY HWY & MILL RUN DR,,39.14204,-77.154537,,,,
4076,4076,MIDCOUNTY HWY & MILLER FALL RD,,39.14326,-77.158719,,,,
4078,4078,MIDCOUNTY HWY & TAUNTON DR,,39.144419,-77.162764,,,,
4080,4080,MIDCOUNTY HWY & WASHINGTON GROVE LA,,39.146348,-77.167068,,,,
4082,4082,MIDCOUNTY HWY & WOODFIELD RD,,39.150749,-77.174116,,,,
4084,4084,MIDCOUNTY HWY & PIERPOINT PL,,39.159549,-77.198737,,,,
4086,4086,E MIDDLE LA & WASHINGTON ST,,39.084965,-77.152135,,,,
4088,4088,E MIDDLE LA & MONROE ST,,39.085019,-77.149423,,,,
4090,4090,E MIDDLE LA & MONROE ST,,39.085235,-77.14921,,,,
4092,4092,E MIDDLE LA & MARYLAND AVE,,39.085121,-77.151792,,,,
4094,4094,MIDDLEBROOK RD & FATHER HURLEY BLVD,,39.183674,-77.272994,,,,
