"service_id","date","exception_type"
"1TWKD","20120903","2"
"3TSUN","20120903","1"
"1TWKD","20121122","2"
"3TSUN","20121122","1"
"1TWKD","20121123","2"
"4TRSA","20121123","1"
"1TWKD","20121224","2"
"4TRSA","20121224","1"
"1TWKD","20121225","2"
"3TSUN","20121225","1"
"1TWKD","20130101","2"
"3TSUN","20130101","1"
