stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1171,1171,NC 54 at Blanchard Rd,,35.902797,-78.906221,,,0
1175,1175,NC 54 at Fayetteville Rd,,35.910257,-78.932714,,,0
1805,1805,NC 54 at Amhurst St,,35.907155,-78.922743,,,0
5001,5001,Campus Walk Ave at Millennium Hotel,,36.009743,-78.953546,,,0
5002,5002,Riddle Rd at Ancroft Ave,,35.95263,-78.89703,,,0
5003,5003,Stadium Dr at Chalk Level Rd,,36.05118,-78.91962,,,0
5005,5005,Cornwallis Rd at Industry Ln,,35.94235,-78.8996,,,0
5006,5006,Alston Ave at Durham Freeway,,35.981032,-78.89091,,,0
5008,5008,S Alston Ave at Massey Ave,,35.978154,-78.892187,,,0
5011,5011,Liberty St at Alston Ave,,35.9927,-78.88648,,,0
5012,5012,1016 Cook Rd,,35.94778,-78.92038,,,0
5016,5016,Cornwallis Rd at Bell Yeager Church,,35.96412,-78.91752,,,0
5017,5017,Chapel Hill Rd at Mc Gehee St,,35.98128,-78.93415,,,0
5018,5018,Morehead Ave at Vickers St,,35.99165,-78.91183,,,0
5019,5019,Club Blvd at Chandlers Tire Company,,36.025331,-78.872554,,,0
5020,5020,Fayetteville Rd at Laurel Springs Dr,,35.913671,-78.933016,,,0
5021,5021,Chapel Hill Rd at W Cornwallis Rd,,35.97547,-78.93672,,,0
5022,5022,Alston Ave at Drew St,,36.000798,-78.885864,,,0
5023,5023,Avondale Dr at E Markham St,,36.008351,-78.885933,,,0
5024,5024,2309 Angier Ave,,35.98067,-78.87443,,,0
5026,5026,Woodcroft Pkwy at Winterberry Ridge,,35.921686,-78.949124,,,0
5027,5027,W Club Blvd at Gregson St,,36.016743,-78.908658,,,0
5028,5028,Umstead St at Fayetteville St,,35.982909,-78.898113,,,0
5030,5030,Duke St at Main St,,35.999585,-78.907942,,,0
5031,5031,Carver St at Guess Rd,,36.03778,-78.93043,,,0
5032,5032,Roxboro Rd at Hammond St,,36.02485,-78.88987,,,0
5033,5033,Roxboro Rd at Bush Dr,,36.07577,-78.90968,,,0
