stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6c233120-9f48-4399-aea1-6f60f2589bef,1312,"Shawnee on University City Sbnd","312",37.24103,-80.43523,,,0,,,
d1eef163-38fb-4013-b1d6-bfda335f8c27,1313,"University City/Broce Sbnd","313",37.23723,-80.43478,,,0,,,
74fb664f-11eb-4386-97e6-fa17a77b2c93,1314,"University City/Glade Sbnd","314",37.23579,-80.43401,,,0,,,
28ab0acd-bc2b-410b-a964-ce93d9a7c7ef,1113,"Squires Wbnd","713",37.22977,-80.4191,,,0,,,
57a30432-f79f-4d23-b3be-0704d9d54541,1209,"Stroubles Cr","233",37.21317,-80.44418,,,0,,,
47af25f8-f664-4d68-b3d9-658644f55a36,1208,"Tall Oaks/Foxtrail Sbnd","232",37.21411,-80.44428,,,0,,,
46b8789d-75ed-44fc-b6ca-21d2f2e09ff2,1210,"Tall Oaks/Foxridge Nbnd","234",37.21413,-80.44428,,,0,,,
4573a103-d8eb-4f1e-a4ed-789618af2f73,1211,"Tall Oaks/Copper Croft Nbnd","235",37.216,-80.44532,,,0,,,
e7c84b04-03f3-475d-8c0b-08543d85f3ec,1118,"Oak Lane North","722",37.22643,-80.43754,,,0,,,
9c800452-ca30-458b-b35d-54cbea13fd3f,1117,"Overflow Lot Wbnd","721",37.22417,-80.43074,,,0,,,
c4e0a698-daa1-44a6-b7ae-609d0fce80c3,1119,"Oak Lane South","723",37.22487,-80.43636,,,0,,,
a31266eb-fd08-485d-8c0e-d9114015dcb6,1120,"Overflow Lot Ebnd","724",37.22409,-80.43082,,,0,,,
17103fb7-5d82-42ea-a0d1-fcd6b5af71f2,1121,"I Lot/Cage Sbnd","725",37.22068,-80.42673,,,0,,,
0d62bbdd-4b87-4f7c-bd29-351e90392c0c,1122,"Food Science Bldg","726",37.22043,-80.42574,,,0,,,
2f4da6bd-5970-49ac-80ee-e2abb15f1c9f,1132,"Life Sciences 1 Bldg","748",37.22048,-80.42543,,,0,,,
136a148b-08b8-4b11-9c17-3f92fa64fffe,1131,"Bioinfomatics Bldg","747",37.22116,-80.42709,,,0,,,
