stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.4943,1702,-158.0546,1702,http://hea.thebus.org/nextbus.asp?s=1702,,,WAIANAE AVE + MORRIS RD,0,
21.2922,422,-157.8313,422,http://hea.thebus.org/nextbus.asp?s=422,,,MCCULLY ST + DATE ST,0,
21.4986,1704,-158.0591,1704,http://hea.thebus.org/nextbus.asp?s=1704,,,AYRES AVE + BRAGG ST,0,
21.4954,1705,-158.0627,1705,http://hea.thebus.org/nextbus.asp?s=1705,,,AYRES AVE + CADET SHERIDAN RD,0,
21.4918,1706,-158.0603,1706,http://hea.thebus.org/nextbus.asp?s=1706,,,TRIMBLE RD + CADET SHERIDAN RD,0,
21.4916,1707,-158.055,1707,http://hea.thebus.org/nextbus.asp?s=1707,,,TRIMBLE RD + FOOTE AVE,0,
21.4904,1708,-158.0526,1708,http://hea.thebus.org/nextbus.asp?s=1708,,,FOOTE AVE + FLAGLER RD,0,
21.4046,1393,-157.9988,1393,http://hea.thebus.org/nextbus.asp?s=1393,,,LUMIAINA ST + OPP LUMIAUAU ST,0,
21.3261,1168,-157.6941,1168,http://hea.thebus.org/nextbus.asp?s=1168,,,POLIALA ST + NAKINI ST,0,
21.3732,1996,-157.9201,1996,http://hea.thebus.org/nextbus.asp?s=1996,,,ULUNE ST + KAHUAPAANI ST,0,
21.2888,424,-157.8326,424,http://hea.thebus.org/nextbus.asp?s=424,,,MCCULLY ST + ALA WAI BL,0,
21.2904,427,-157.8402,427,http://hea.thebus.org/nextbus.asp?s=427,,,MAHUKONA ST + ATKINSON DR,0,
21.3603,3658,-157.7666,3658,http://hea.thebus.org/nextbus.asp?s=3658,,,PUUALOHA ST + ALOHA OE DR,0,
21.4053,1390,-157.9964,1390,http://hea.thebus.org/nextbus.asp?s=1390,,,KAMEHAMEHA HWY + LUMIAINA ST,0,
21.3072,2090,-157.8337,2090,http://hea.thebus.org/nextbus.asp?s=2090,,,KEEAUMOKU ST + DOMINIS ST,0,
21.3925,1128,-157.7374,1128,http://hea.thebus.org/nextbus.asp?s=1128,,,KAILUA RD + AOLOA ST,0,
21.3918,1129,-157.7346,1129,http://hea.thebus.org/nextbus.asp?s=1129,,,WANAAO RD + AWAKEA RD,0,
21.3799,1120,-157.7568,1120,http://hea.thebus.org/nextbus.asp?s=1120,,,KALANIANAOLE HWY + OPP CASTLE MEDICA,0,
21.3818,1121,-157.755,1121,http://hea.thebus.org/nextbus.asp?s=1121,,,KAILUA RD + KALANIANAOLE HWY,0,
21.3836,1122,-157.7534,1122,http://hea.thebus.org/nextbus.asp?s=1122,,,KAILUA RD + ULUOA ST,0,
21.3861,1123,-157.7511,1123,http://hea.thebus.org/nextbus.asp?s=1123,,,KAILUA RD + ULUMANU DR,0,
21.3891,1124,-157.7484,1124,http://hea.thebus.org/nextbus.asp?s=1124,,,KAILUA RD + 1005,0,
21.3934,1125,-157.7447,1125,http://hea.thebus.org/nextbus.asp?s=1125,,,KAILUA RD + HAMAKUA DR,0,
21.3942,1126,-157.7432,1126,http://hea.thebus.org/nextbus.asp?s=1126,,,KAILUA RD + OPP ONEAWA ST,0,
21.3936,1127,-157.7409,1127,http://hea.thebus.org/nextbus.asp?s=1127,,,KAILUA RD + HAHANI ST,0,
21.2872,3000,-157.8065,3000,http://hea.thebus.org/nextbus.asp?s=3000,,,PALOLO AVE + WAIALAE AVE,0,
21.2921,2989,-157.8403,2989,http://hea.thebus.org/nextbus.asp?s=2989,,,KAPIOLANI BL + MAHUKONA ST,0,
21.2989,3029,-157.7924,3029,http://hea.thebus.org/nextbus.asp?s=3029,,,10TH AVE + KIWILA ST,0,
21.3006,3028,-157.7907,3028,http://hea.thebus.org/nextbus.asp?s=3028,,,10TH AVE + OPP WAIOMAO RD,0,
21.3457,2983,-157.9028,2983,http://hea.thebus.org/nextbus.asp?s=2983,,,LIKINI ST + ALA NAPUNANI ST,0,
21.3461,2982,-157.9058,2982,http://hea.thebus.org/nextbus.asp?s=2982,,,LIKINI ST + ALA NANU ST,0,
21.3459,2981,-157.9083,2981,http://hea.thebus.org/nextbus.asp?s=2981,,,LIKINI ST + 5210,0,
21.347,2980,-157.9097,2980,http://hea.thebus.org/nextbus.asp?s=2980,,,LIKINI ST + ALA NANALA ST,0,
21.3063,3023,-157.7892,3023,http://hea.thebus.org/nextbus.asp?s=3023,,,PALOLO AVE + OPP CARLOS LONG ST,0,
21.3084,3021,-157.7893,3021,http://hea.thebus.org/nextbus.asp?s=3021,,,JASMINE ST + CARLOS LONG ST,0,
21.3455,2984,-157.9016,2984,http://hea.thebus.org/nextbus.asp?s=2984,,,ALA NAPUNANI ST + ALA ILIMA ST,0,
21.4115,524,-158.1766,524,http://hea.thebus.org/nextbus.asp?s=524,,,FARRINGTON HWY + 87-672,0,
21.4138,525,-158.1765,525,http://hea.thebus.org/nextbus.asp?s=525,,,FARRINGTON HWY + MANUULAULA ST,0,
21.4152,526,-158.1768,526,http://hea.thebus.org/nextbus.asp?s=526,,,FARRINGTON HWY + ST JOHNS RD,0,
21.4183,527,-158.1772,527,http://hea.thebus.org/nextbus.asp?s=527,,,FARRINGTON HWY + KIMO ST,0,
21.322,1018,-157.8672,1018,http://hea.thebus.org/nextbus.asp?s=1018,,,N KING ST + PALAMA ST,0,
21.3983,521,-158.17,521,http://hea.thebus.org/nextbus.asp?s=521,,,FARRINGTON HWY + 87-1470,0,
21.4045,522,-158.1768,522,http://hea.thebus.org/nextbus.asp?s=522,,,FARRINGTON HWY + KAUKAMA RD,0,
21.41,523,-158.1768,523,http://hea.thebus.org/nextbus.asp?s=523,,,FARRINGTON HWY + MAIPALAOA RD,0,
21.2894,1016,-157.832,1016,http://hea.thebus.org/nextbus.asp?s=1016,,,KAPIOLANI BL + MCCULLY ST,0,
21.3792,1017,-158.0242,1017,http://hea.thebus.org/nextbus.asp?s=1017,,,LEOKU ST + FARRINGTON HWY,0,
21.4211,528,-158.1777,528,http://hea.thebus.org/nextbus.asp?s=528,,,FARRINGTON HWY + MAIPELA ST,0,
21.4223,529,-158.1778,529,http://hea.thebus.org/nextbus.asp?s=529,,,FARRINGTON HWY + KELIIKIPI ST,0,
21.3302,1234,-157.6928,1234,http://hea.thebus.org/nextbus.asp?s=1234,,,HULI ST + KALANIANAOLE HWY,0,
21.3314,1235,-157.6954,1235,http://hea.thebus.org/nextbus.asp?s=1235,,,KALANIANAOLE HWY + OPP ALA KOA ST,0,
21.3318,1236,-157.6963,1236,http://hea.thebus.org/nextbus.asp?s=1236,,,KALANIANAOLE HWY + OPP NAKINI ST,0,
21.3328,1237,-157.6974,1237,http://hea.thebus.org/nextbus.asp?s=1237,,,KALANIANAOLE HWY + WAILEA ST,0,
21.3272,1230,-157.6949,1230,http://hea.thebus.org/nextbus.asp?s=1230,,,KAAIAI ST + HULI ST,0,
21.3275,1231,-157.694,1231,http://hea.thebus.org/nextbus.asp?s=1231,,,HULI ST + OPP KAAIAI ST,0,
21.3283,1232,-157.6935,1232,http://hea.thebus.org/nextbus.asp?s=1232,,,HULI ST + BELL ST,0,
21.3111,4199,-158.0099,4199,http://hea.thebus.org/nextbus.asp?s=4199,,,POHAKUPUNA RD + PEEONE PL,0,
21.3083,4196,-158.0197,4196,http://hea.thebus.org/nextbus.asp?s=4196,,,POHAKUPUNA RD + POHAKUPUNA PL,0,
21.3093,4197,-158.0164,4197,http://hea.thebus.org/nextbus.asp?s=4197,,,POHAKUPUNA RD + HAILIPO ST,0,
21.3134,4194,-158.016,4194,http://hea.thebus.org/nextbus.asp?s=4194,,,PAPIPI RD + OPP PAALOHA ST,0,
21.3115,4195,-158.0177,4195,http://hea.thebus.org/nextbus.asp?s=4195,,,PAPIPI RD + OPP HAILIPO ST,0,
21.3355,1238,-157.6998,1238,http://hea.thebus.org/nextbus.asp?s=1238,,,KALANIANAOLE HWY + MANANA ST,0,
21.3374,1239,-157.7015,1239,http://hea.thebus.org/nextbus.asp?s=1239,,,KALANIANAOLE HWY + HINALEA ST,0,
21.3039,305,-157.8346,305,http://hea.thebus.org/nextbus.asp?s=305,,,WILDER AVE + MAKIKI ST,0,
21.3552,4358,-157.9311,4358,http://hea.thebus.org/nextbus.asp?s=4358,,,BOUGAINVILLE DR + OPP LAWEHANA ST,0,
21.3525,4359,-157.9332,4359,http://hea.thebus.org/nextbus.asp?s=4359,,,RADFORD DR + OPP CENTER DR,0,
21.516,4354,-158.0017,4354,http://hea.thebus.org/nextbus.asp?s=4354,,,MIDWAY DR + CENTER ST,0,
21.5111,4355,-158.0189,4355,http://hea.thebus.org/nextbus.asp?s=4355,,,NANIIHI AVE + WHITMORE AVE,0,
21.3524,4356,-157.932,4356,http://hea.thebus.org/nextbus.asp?s=4356,,,BOUGAINVILLE DR + RADFORD DR,0,
21.3527,4357,-157.9318,4357,http://hea.thebus.org/nextbus.asp?s=4357,,,BOUGAINVILLE DR + RADFORD DR,0,
21.2829,4352,-157.8314,4352,http://hea.thebus.org/nextbus.asp?s=4352,,,KALAKAUA AV + OPP OLOHANA ST,0,
21.5884,2486,-157.889,2486,http://hea.thebus.org/nextbus.asp?s=2486,,,KAMEHAMEHA HWY + 53-527,0,
21.3128,438,-157.8606,438,http://hea.thebus.org/nextbus.asp?s=438,,,N BERETANIA ST + OPP SMITH ST,0,
21.3142,439,-157.8618,439,http://hea.thebus.org/nextbus.asp?s=439,,,N BERETANIA ST + OPP RIVER ST,0,
21.3034,436,-157.8553,436,http://hea.thebus.org/nextbus.asp?s=436,,,KAPIOLANI BL + SOUTH ST,0,
21.3105,437,-157.8585,437,http://hea.thebus.org/nextbus.asp?s=437,,,S BERETANIA ST + PALI HWY + BISHOP S,0,
21.3016,435,-157.8546,435,http://hea.thebus.org/nextbus.asp?s=435,,,KAPIOLANI BL + COOKE ST,0,
21.2988,433,-157.8526,433,http://hea.thebus.org/nextbus.asp?s=433,,,KAPIOLANI BL + WARD AVE,0,
21.2965,431,-157.85,431,http://hea.thebus.org/nextbus.asp?s=431,,,KAPIOLANI BL + OPP KAMAKEE ST,0,
21.3808,3805,-157.9144,3805,http://hea.thebus.org/nextbus.asp?s=3805,,,HALAWA HEIGHTS RD + HALAWA DR,0,
21.3801,3804,-157.9147,3804,http://hea.thebus.org/nextbus.asp?s=3804,,,HALAWA HEIGHTS RD + OPP KAHOLI PL,0,
21.385,3807,-157.9134,3807,http://hea.thebus.org/nextbus.asp?s=3807,,,HALAWA HEIGHTS RD + 99-1057,0,
21.384,3806,-157.9151,3806,http://hea.thebus.org/nextbus.asp?s=3806,,,HALAWA HEIGHTS RD + MIKIOI PL,0,
21.3928,3801,-157.9116,3801,http://hea.thebus.org/nextbus.asp?s=3801,,,AIEA HEIGHTS DR + LOHEA PL,0,
21.3946,3800,-157.9095,3800,http://hea.thebus.org/nextbus.asp?s=3800,,,AIEA HEIGHTS DR + KAUPILI PL,0,
21.3677,3803,-157.9245,3803,http://hea.thebus.org/nextbus.asp?s=3803,,,KAHUAPAANI ST + ALA ALII ST,0,
21.3901,3802,-157.9129,3802,http://hea.thebus.org/nextbus.asp?s=3802,,,AIEA HEIGHTS DR + OPP HOLO PL,0,
21.4787,1630,-158.0262,1630,http://hea.thebus.org/nextbus.asp?s=1630,,,KAMEHAMEHA HWY + LEILEIHUA GOLF COUR,0,
21.3443,2864,-157.8909,2864,http://hea.thebus.org/nextbus.asp?s=2864,,,ALA MAHAMOE ST + ALA AMOAMO ST,0,
21.5761,2481,-157.8805,2481,http://hea.thebus.org/nextbus.asp?s=2481,,,KAMEHAMEHA HWY + PUNALUU BEACH PARK,0,
21.4792,558,-158.2237,558,http://hea.thebus.org/nextbus.asp?s=558,,,FARRINGTON HWY + OPP MAKAHA SHORES,0,
21.4719,555,-158.217,555,http://hea.thebus.org/nextbus.asp?s=555,,,FARRINGTON HWY + WATER ST,0,
21.4707,554,-158.2163,554,http://hea.thebus.org/nextbus.asp?s=554,,,FARRINGTON HWY + KIAPA PL,0,
21.5796,2289,-158.1053,2289,http://hea.thebus.org/nextbus.asp?s=2289,,,KAMEHAMEHA HWY + 66-520,0,
21.33,1162,-157.6928,1162,http://hea.thebus.org/nextbus.asp?s=1162,,,HULI ST + KALANIANAOLE HWY,0,
21.3254,4174,-157.8408,4174,http://hea.thebus.org/nextbus.asp?s=4174,,,PACIFIC HEIGHTS RD + 2761,0,
21.3253,4175,-157.8394,4175,http://hea.thebus.org/nextbus.asp?s=4175,,,PACIFIC HEIGHTS RD + VON HAMM PL,0,
21.3265,4176,-157.8395,4176,http://hea.thebus.org/nextbus.asp?s=4176,,,PACIFIC HEIGHTS RD + OPP LAOLA PL,0,
21.3275,4177,-157.8398,4177,http://hea.thebus.org/nextbus.asp?s=4177,,,PACIFIC HEIGHTS RD + WAILANI RD,0,
21.3239,4170,-157.8415,4170,http://hea.thebus.org/nextbus.asp?s=4170,,,PACIFIC HEIGHTS RD + OPP PACIFIC HEIGHTS PL,0,
21.3242,4171,-157.8429,4171,http://hea.thebus.org/nextbus.asp?s=4171,,,PACIFIC HEIGHTS RD + LANILOA RD,0,
21.3242,4172,-157.8436,4172,http://hea.thebus.org/nextbus.asp?s=4172,,,PACIFIC HEIGHTS RD + 2683,0,
21.3248,4173,-157.8421,4173,http://hea.thebus.org/nextbus.asp?s=4173,,,PACIFIC HEIGHTS RD + 2711,0,
21.3275,4178,-157.8379,4178,http://hea.thebus.org/nextbus.asp?s=4178,,,PACIFIC HEIGHTS RD + 3103,0,
21.3243,995,-157.8686,995,http://hea.thebus.org/nextbus.asp?s=995,,,N KING ST + KOKEA ST,0,
21.3668,2949,-157.9163,2949,http://hea.thebus.org/nextbus.asp?s=2949,,,PUNIHI ST + PIIKEA ST,0,
21.3307,994,-157.8752,994,http://hea.thebus.org/nextbus.asp?s=994,,,N KING ST + KALIHI ST,0,
21.3671,2948,-157.9171,2948,http://hea.thebus.org/nextbus.asp?s=2948,,,PIIKEA ST + PIIKEA PL,0,
21.312,997,-157.8637,997,http://hea.thebus.org/nextbus.asp?s=997,,,N KING ST + MAUNAKEA ST,0,
21.3185,996,-157.8648,996,http://hea.thebus.org/nextbus.asp?s=996,,,N KING ST + DILLINGHAM BL,0,
21.2698,238,-157.808,238,http://hea.thebus.org/nextbus.asp?s=238,,,MONSARRAT AVE + OPP TROUSSEAU ST,0,
21.2695,239,-157.8039,239,http://hea.thebus.org/nextbus.asp?s=239,,,DIAMOND HEAD RD + OPP MAKAPUU AVE,0,
21.2691,234,-157.8164,234,http://hea.thebus.org/nextbus.asp?s=234,,,MONSARRAT AVE + PAKI AVE,0,
21.269,235,-157.8138,235,http://hea.thebus.org/nextbus.asp?s=235,,,MONSARRAT AVE + KANAINA AVE,0,
21.2695,236,-157.8114,236,http://hea.thebus.org/nextbus.asp?s=236,,,MONSARRAT AVE + CAMPBELL AVE,0,
21.2697,237,-157.8095,237,http://hea.thebus.org/nextbus.asp?s=237,,,MONSARRAT AVE + 3251,0,
21.2695,230,-157.8022,230,http://hea.thebus.org/nextbus.asp?s=230,,,DIAMOND HEAD RD + MAKAPUU AVE,0,
21.2699,231,-157.808,231,http://hea.thebus.org/nextbus.asp?s=231,,,MONSARRAT AVE + TROUSSEAU ST,0,
21.2695,232,-157.8118,232,http://hea.thebus.org/nextbus.asp?s=232,,,MONSARRAT AVE + CAMPBELL AVE,0,
21.2866,233,-157.8317,233,http://hea.thebus.org/nextbus.asp?s=233,,,PAU ST + ALA WAI BL,0,
21.3636,2944,-157.9232,2944,http://hea.thebus.org/nextbus.asp?s=2944,,,HALOA DR + MOLEHU DR,0,
21.333,993,-157.879,993,http://hea.thebus.org/nextbus.asp?s=993,,,N KING ST + GULICK AVE,0,
21.5813,2228,-158.1318,2228,http://hea.thebus.org/nextbus.asp?s=2228,,,WAIALUA BEACH RD + OPP KAIMANU PL,0,
21.5811,2229,-158.1275,2229,http://hea.thebus.org/nextbus.asp?s=2229,,,WAIALUA BEACH RD + KOMO ST,0,
21.5814,2226,-158.1371,2226,http://hea.thebus.org/nextbus.asp?s=2226,,,WAIALUA BEACH RD + OPP APUHIHI ST,0,
21.5813,2227,-158.1347,2227,http://hea.thebus.org/nextbus.asp?s=2227,,,WAIALUA BEACH RD + OPP KAIEA PL,0,
21.5824,2224,-158.1399,2224,http://hea.thebus.org/nextbus.asp?s=2224,,,AKULE ST + AWEOWEO ST,0,
21.5817,2225,-158.1399,2225,http://hea.thebus.org/nextbus.asp?s=2225,,,AWEOWEO ST + WAIALUA BEACH RD,0,
21.5817,2222,-158.1375,2222,http://hea.thebus.org/nextbus.asp?s=2222,,,APUHIHI ST + WAIALUA BEACH RD,0,
21.5828,2223,-158.1378,2223,http://hea.thebus.org/nextbus.asp?s=2223,,,AKULE ST + APUHIHI ST,0,
21.5814,2220,-158.1317,2220,http://hea.thebus.org/nextbus.asp?s=2220,,,WAIALUA BEACH RD + KAIMANU PL,0,
21.5814,2221,-158.1348,2221,http://hea.thebus.org/nextbus.asp?s=2221,,,WAIALUA BEACH RD + KAIEA PL,0,
