stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
8042,8042,Capital Blvd at Old Buffaloe Rd,,35.82885,-78.58561,cat,
8043,8043,Capital Blvd at Mayflower Dr,,35.82521,-78.58696,cat,
8044,8044,Capital Blvd at Huntleigh Dr,,35.82087,-78.59201,cat,
8045,8045,Capital Blvd at Brentwood Rd,,35.81919,-78.59577,cat,
8046,8046,Capital Blvd at Highwoods Blvd,,35.81747,-78.59951,cat,
8047,8047,Capital Blvd at Hodges St,,35.81074,-78.6124,cat,
8048,8048,Capital Blvd at Crabtree Blvd,,35.80565,-78.61754,cat,
8049,8049,Capital Blvd at Trillery Pl,,35.80378,-78.62093,cat,
8050,8050,Old Louisburg Rd at Atlantic Ave,,35.8026,-78.62401,cat,
8051,8051,Wake Forest Rd at Brookside Dr,,35.80001,-78.62566,cat,
8052,8052,Wake Forest Rd at Courtland Dr,,35.79884,-78.626817,cat,
8053,8053,Wake Forest Rd at Sycamore Rd,,35.797552,-78.629406,cat,
8054,8054,Wake Forest Rd at Chestnut St,,35.7962,-78.63031,cat,
8055,8055,Poplar St at Marshall St,,35.79529,-78.63426,cat,
8056,8056,N Blount St at Cedar St,,35.79395,-78.63569,cat,
8057,8057,N Blount St at Delway St,,35.79139,-78.63589,cat,
8058,8058,Salisbury St at Parking Deck,,35.787222,-78.639493,cat,
8059,8059,Salisbury St at Lane St,,35.785311,-78.639935,cat,
8061,8061,N Salisbury St at W Jones St,,35.782833,-78.640045,cat,
8062,8062,N Salisbury St at W Edenton St,,35.78158,-78.640078,cat,
8063,8063,S Salisbury St at W Morgan St,,35.779922,-78.640177,cat,
8064,8064,S Salisbury St at W Hargett St,,35.779075,-78.640188,cat,
8065,8065,Gorman St at Burt Dr,,35.776931,-78.687845,cat,
8070,8070,W Edenton St at S McDowell St,,35.781373,-78.642213,cat,
8071,8071,W Edenton St at S Harrington St,,35.781471,-78.644369,cat,
8072,8072,Glenwood Ave at Hillsborough St,,35.78123,-78.64743,cat,
8073,8073,Glenwood Ave at W Jones St,,35.78294,-78.64733,cat,
8074,8074,Glenwood Ave at W Lane St,,35.784219,-78.647379,cat,
8075,8075,Glenwood Ave at Tucker St,,35.78666,-78.6472,cat,
8076,8076,Glenwood Ave at W Peace St,,35.78842,-78.64711,cat,
8077,8077,Glenwood Ave at Devereux St,,35.78987,-78.64701,cat,
8078,8078,Glenwood Ave at Wills Forest St,,35.79127,-78.6468,cat,
